"country","year","value","published","note","type"
"Cocos (Keeling) Islands",2006,12,"2006 to 2009",NA,"unpaved"
"Cocos (Keeling) Islands",2007,10,"2010 to 2023",NA,"paved"
"Cocos (Keeling) Islands",2007,22,"2010 to 2023",NA,"total"
"Cocos (Keeling) Islands",2007,12,"2010 to 2023",NA,"unpaved"
"Colombia",2000,26000,"2006",NA,"paved"
"Colombia",2000,110000,"2006",NA,"total"
"Colombia",2000,84000,"2006",NA,"unpaved"
"Colombia",2004,16270,"2007",NA,"paved"
"Colombia",2004,112988,"2007",NA,"total"
"Colombia",2004,96718,"2007",NA,"unpaved"
"Colombia",2005,164257,"2008 to 2010",NA,"total"
"Colombia",2010,141374,"2011 to 2015",NA,"total"
"Colombia",2015,204855,"2016 to 2017",NA,"total"
"Colombia",2016,206500,"2018 to 2021",NA,"total"
"Colombia",2019,205379,"2022 to 2023",NA,"total"
"Comoros",1999,673,"2006 to 2007",NA,"paved"
"Comoros",1999,880,"2006 to 2007",NA,"total"
"Comoros",1999,207,"2006 to 2007",NA,"unpaved"
"Comoros",2002,673,"2008 to 2023",NA,"paved"
"Comoros",2002,880,"2008 to 2023",NA,"total"
"Comoros",2002,207,"2008 to 2023",NA,"unpaved"
"Congo, Dem. Rep.",1999,157000,"2006","including 30 km of expressways","total"
"Congo, Dem. Rep.",2004,2794,"2007 to 2018",NA,"paved"
"Congo, Dem. Rep.",2004,153497,"2007 to 2018",NA,"total"
"Congo, Dem. Rep.",2004,150703,"2007 to 2018",NA,"unpaved"
"Congo, Dem. Rep.",2015,3047,"2019 to 2023",NA,"paved"
"Congo, Dem. Rep.",2015,152373,"2019 to 2023",NA,"total"
"Congo, Dem. Rep.",2015,149326,"2019 to 2023",NA,"unpaved"
"Congo, Rep.",1999,1242,"2006",NA,"paved"
"Congo, Rep.",1999,12800,"2006",NA,"total"
"Congo, Rep.",1999,11558,"2006",NA,"unpaved"
"Congo, Rep.",2004,864,"2007 to 2014",NA,"paved"
"Congo, Rep.",2004,17289,"2007 to 2014",NA,"total"
"Congo, Rep.",2004,16425,"2007 to 2014",NA,"unpaved"
"Congo, Rep.",2006,1212,"2015 to 2018",NA,"paved"
"Congo, Rep.",2006,17000,"2015 to 2018",NA,"total"
"Congo, Rep.",2006,15788,"2015 to 2018",NA,"unpaved"
"Congo, Rep.",2017,3111,"2019 to 2023",NA,"paved"
"Congo, Rep.",2017,23324,"2019 to 2023",NA,"total"
"Congo, Rep.",2017,20213,"2019 to 2023",NA,"unpaved"
"Cook Islands",2003,33,"2006 to 2018",NA,"paved"
"Cook Islands",2003,320,"2006 to 2018",NA,"total"
"Cook Islands",2003,287,"2006 to 2018",NA,"unpaved"
"Cook Islands",2018,207,"2019 to 2023",NA,"paved"
"Cook Islands",2018,295,"2019 to 2023",NA,"total"
"Cook Islands",2018,88,"2019 to 2023",NA,"unpaved"
"Costa Rica",2003,8075,"2006",NA,"paved"
"Costa Rica",2003,35889,"2006",NA,"total"
"Costa Rica",2003,27814,"2006",NA,"unpaved"
"Costa Rica",2004,8621,"2007 to 2010",NA,"paved"
"Costa Rica",2004,9619,"2012",NA,"paved"
"Costa Rica",2004,35330,"2007 to 2010",NA,"total"
"Costa Rica",2004,38049,"2012",NA,"total"
"Costa Rica",2004,26709,"2007 to 2010",NA,"unpaved"
"Costa Rica",2004,28430,"2012",NA,"unpaved"
"Costa Rica",2008,9619,"2011",NA,"paved"
"Costa Rica",2008,38049,"2011",NA,"total"
"Costa Rica",2008,28430,"2011",NA,"unpaved"
"Costa Rica",2010,10133,"2013 to 2018",NA,"paved"
"Costa Rica",2010,39018,"2013 to 2018",NA,"total"
"Costa Rica",2010,28885,"2013 to 2018",NA,"unpaved"
"Costa Rica",2017,5035,"2019 to 2023",NA,"total"
"Cote d'Ivoire",2006,6500,"2006 to 2012",NA,"paved"
"Cote d'Ivoire",2006,80000,"2006 to 2012",NA,"total"
"Cote d'Ivoire",2006,73500,"2006 to 2012",NA,"unpaved"
"Cote d'Ivoire",2007,6502,"2013 to 2023",NA,"paved"
"Cote d'Ivoire",2007,81996,"2013 to 2023",NA,"total"
"Cote d'Ivoire",2007,75494,"2013 to 2023",NA,"unpaved"
"Croatia",2004,24186,"2006","including 742 km of expressways","paved"
"Croatia",2004,28344,"2006",NA,"total"
"Croatia",2004,4158,"2006",NA,"unpaved"
"Croatia",2006,28436,"2007","includes 792 km of expressways","paved"
"Croatia",2006,28436,"2007",NA,"total"
"Croatia",2006,28788,"2008 to 2009","includes 877 km of expressways","total"
"Croatia",2008,29248,"2010","includes 1043 km of expressways","total"
"Croatia",2008,29343,"2012","includes 1047 km of expressways","total"
"Croatia",2009,29343,"2011","includes 1047 km of expressways","total"
"Croatia",2011,29410,"2013 to 2014","includes 1254 km of expressways","total"
"Croatia",2015,26958,"2015 to 2023","includes 1416 km of expressways","total"
"Croatia",2015,26958,"2015 to 2023",NA,"total"
"Cuba",1999,29820,"2006 to 2007","including 638 km of expressway","paved"
"Cuba",1999,29820,"2006 to 2007","includes 638 km of expressway","paved"
"Cuba",1999,60858,"2006 to 2007",NA,"total"
"Cuba",1999,31038,"2006 to 2007",NA,"unpaved"
"Cuba",2000,29820,"2008 to 2012","includes 638 km of expressway","paved"
"Cuba",2000,60858,"2008 to 2012",NA,"total"
"Cuba",2000,31038,"2008 to 2012",NA,"unpaved"
"Cuba",2001,29820,"2011 to 2018","includes 638 km of expressway","paved"
"Cuba",2001,29820,"2011 to 2018","includes 639 km of expressways","paved"
"Cuba",2001,29820,"2011 to 2018",NA,"paved"
"Cuba",2001,20000,"2019 to 2023",NA,"paved"
"Cuba",2001,60858,"2011 to 2018",NA,"total"
"Cuba",2001,31038,"2011 to 2018",NA,"unpaved"
"Cuba",2001,40000,"2019 to 2023",NA,"unpaved"
"Cuba",2015,60000,"2019 to 2023",NA,"total"
"Cuba",2015,71140,"2021",NA,"total"
"Curacao",NA,550,"2010 to 2023",NA,"total"
"Cyprus",2006,7979,"2007 to 2009","includes 257 km of expressways","paved"
"Cyprus",2006,14630,"2007 to 2009","area under government control: 12280 km; area administered by Turkish Cypriots: 2350 km","total"
"Cyprus",2006,4301,"2007 to 2009",NA,"unpaved"
"Cyprus",2011,8564,"2013 to 2018",NA,"paved"
"Cyprus",2011,20006,"2013 to 2018",NA,"total"
"Cyprus",2011,4442,"2013 to 2018",NA,"unpaved"
"Cyprus",2016,8631,"2019 to 2023",NA,"paved"
"Cyprus",2016,19901,"2019 to 2021",NA,"total"
"Cyprus",2016,12901,"2022 to 2023",NA,"total"
"Cyprus",2016,4270,"2019 to 2023",NA,"unpaved"
"Cyprus",NA,7845,"2006","including 276 km of expressways","paved"
"Cyprus",NA,14496,"2006","Republic of Cyprus: 12146 km; north Cyprus: 2350 km","total"
"Cyprus",NA,14671,"2010 to 2012",NA,"total"
"Cyprus",NA,4301,"2006","2005/1996 est.","unpaved"
"Czechia",2003,127747,"2006","including 518 km of expressways","paved"
"Czechia",2003,127747,"2006",NA,"total"
"Czechia",2006,127865,"2007","includes 633 km of expressways","paved"
"Czechia",2006,127865,"2007",NA,"total"
"Czechia",2007,128512,"2008 to 2009","includes 657 km of expressways","paved"
"Czechia",2007,128512,"2008 to 2009",NA,"total"
"Czechia",2008,128582,"2010","includes 691 km of expressways","paved"
"Czechia",2008,127797,"2012","includes 730 km of expressways","paved"
"Czechia",2008,128582,"2010",NA,"total"
"Czechia",2008,127797,"2012","includes urban roads","total"
"Czechia",2009,127719,"2011","includes 729 km of expressways","paved"
"Czechia",2009,127719,"2011",NA,"total"
"Czechia",2010,130671,"2013 to 2014","includes 730 km of expressways","paved"
"Czechia",2010,130671,"2013 to 2014","includes urban roads","total"
"Czechia",2011,130661,"2015 to 2018","includes 730 km of expressways","paved"
"Czechia",2011,130661,"2015 to 2018",NA,"paved"
"Czechia",2011,130661,"2015 to 2018","includes urban roads","total"
"Czechia",2019,55744,"2019 to 2023",NA,"paved"
"Czechia",2019,55744,"2019 to 2023","includes urban and category I II III roads","total"
"Denmark",2005,72257,"2006 to 2007","including 1032 km of expressways","paved"
"Denmark",2005,72257,"2006 to 2007","includes 1032 km of expressways","paved"
"Denmark",2005,72257,"2006 to 2007",NA,"total"
"Denmark",2006,72362,"2008 to 2009","includes 1032 km of expressways","paved"
"Denmark",2006,72362,"2008 to 2009",NA,"total"
"Denmark",2008,73197,"2010 to 2012","includes 1111 km of expressways","paved"
"Denmark",2008,73197,"2010 to 2012",NA,"total"
"Denmark",2012,73929,"2013 to 2015","includes 1143 km of expressways","paved"
"Denmark",2012,73929,"2013 to 2015",NA,"total"
"Denmark",2016,74497,"2016","includes 1188 km of expressways","paved"
"Denmark",2016,74497,"2016",NA,"total"
"Denmark",2017,74558,"2017 to 2023","includes 1205 km of expressways","paved"
"Denmark",2017,74558,"2017 to 2023",NA,"paved"
"Denmark",2017,74558,"2017 to 2023",NA,"total"
"Djibouti",1999,364,"2006 to 2007",NA,"paved"
"Djibouti",1999,2890,"2006 to 2007",NA,"total"
"Djibouti",1999,2526,"2006 to 2007",NA,"unpaved"
"Djibouti",2000,1226,"2008 to 2014",NA,"paved"
"Djibouti",2000,1379,"2015 to 2018",NA,"paved"
"Djibouti",2000,3065,"2008 to 2018",NA,"total"
"Djibouti",2000,1839,"2008 to 2014",NA,"unpaved"
"Djibouti",2000,1686,"2015 to 2018",NA,"unpaved"
"Djibouti",2013,2893,"2019 to 2023",NA,"total"
"Dominica",1999,393,"2006 to 2007",NA,"paved"
"Dominica",1999,780,"2006 to 2007",NA,"total"
"Dominica",1999,387,"2006 to 2007",NA,"unpaved"
"Dominica",2000,393,"2008 to 2012",NA,"paved"
"Dominica",2000,780,"2008 to 2012",NA,"total"
"Dominica",2000,387,"2008 to 2012",NA,"unpaved"
"Dominica",2001,393,"2011",NA,"paved"
"Dominica",2001,780,"2011",NA,"total"
"Dominica",2001,387,"2011",NA,"unpaved"
"Dominica",2010,762,"2013 to 2018",NA,"paved"
"Dominica",2010,1512,"2013 to 2018",NA,"total"
"Dominica",2010,750,"2013 to 2018",NA,"unpaved"
"Dominica",2018,762,"2019 to 2023",NA,"paved"
"Dominica",2018,1512,"2019 to 2023",NA,"total"
"Dominica",2018,750,"2019 to 2023",NA,"unpaved"
"Dominican Republic",1999,6224,"2006 to 2007",NA,"paved"
"Dominican Republic",1999,12600,"2006 to 2007",NA,"total"
"Dominican Republic",1999,6376,"2006 to 2007",NA,"unpaved"
"Dominican Republic",2002,9872,"2008 to 2023",NA,"paved"
"Dominican Republic",2002,19705,"2008 to 2023",NA,"total"
"Dominican Republic",2002,9833,"2008 to 2023",NA,"unpaved"
"Ecuador",2003,7287,"2006",NA,"paved"
"Ecuador",2003,43197,"2006",NA,"total"
"Ecuador",2003,35910,"2006",NA,"unpaved"
"Ecuador",2004,6467,"2007",NA,"paved"
"Ecuador",2004,43197,"2007",NA,"total"
"Ecuador",2004,36730,"2007",NA,"unpaved"
"Ecuador",2006,6472,"2008 to 2012",NA,"paved"
"Ecuador",2006,43670,"2008 to 2012",NA,"total"
"Ecuador",2006,37198,"2008 to 2012",NA,"unpaved"
"Ecuador",2007,6472,"2011 to 2018",NA,"paved"
"Ecuador",2007,43670,"2011 to 2018",NA,"total"
"Ecuador",2007,37198,"2011 to 2018",NA,"unpaved"
"Ecuador",2015,8161,"2019 to 2021",NA,"paved"
"Ecuador",2015,43216,"2019 to 2021",NA,"total"
"Ecuador",2015,35055,"2019 to 2021",NA,"unpaved"
"Ecuador",2022,8895,"2022 to 2023",NA,"paved"
"Ecuador",2022,43950,"2022 to 2023",NA,"total"
"Ecuador",2022,35055,"2022 to 2023",NA,"unpaved"
"Egypt, Arab Rep.",1999,49984,"2006",NA,"paved"
"Egypt, Arab Rep.",1999,64000,"2006",NA,"total"
"Egypt, Arab Rep.",1999,14016,"2006",NA,"unpaved"
"Egypt, Arab Rep.",2004,74820,"2007 to 2009",NA,"paved"
"Egypt, Arab Rep.",2004,92370,"2007 to 2009",NA,"total"
"Egypt, Arab Rep.",2004,17550,"2007 to 2009",NA,"unpaved"
"Egypt, Arab Rep.",2009,47500,"2010 to 2012",NA,"paved"
"Egypt, Arab Rep.",2009,65050,"2010 to 2012",NA,"total"
"Egypt, Arab Rep.",2009,17550,"2010 to 2012",NA,"unpaved"
"Egypt, Arab Rep.",2010,126742,"2013 to 2018","includes 838 km of expressways","paved"
"Egypt, Arab Rep.",2010,126742,"2013 to 2018",NA,"paved"
"Egypt, Arab Rep.",2010,137430,"2013 to 2018",NA,"total"
"Egypt, Arab Rep.",2010,10688,"2013 to 2018",NA,"unpaved"
"Egypt, Arab Rep.",2017,48000,"2019 to 2021",NA,"paved"
"Egypt, Arab Rep.",2017,65050,"2019 to 2021",NA,"total"
"Egypt, Arab Rep.",2017,17050,"2019 to 2021",NA,"unpaved"
"Egypt, Arab Rep.",2018,48000,"2022 to 2023",NA,"paved"
"Egypt, Arab Rep.",2018,65050,"2022 to 2023",NA,"total"
"Egypt, Arab Rep.",2018,17050,"2022 to 2023",NA,"unpaved"
"El Salvador",1999,1986,"2006",NA,"paved"
"El Salvador",1999,10029,"2006",NA,"total"
"El Salvador",1999,8043,"2006",NA,"unpaved"
"El Salvador",2000,2827,"2007 to 2012",NA,"paved"
"El Salvador",2000,2827,"2007 to 2012","includes 327 km of expressways","paved"
"El Salvador",2000,10886,"2007 to 2012",NA,"total"
"El Salvador",2000,8059,"2007 to 2012",NA,"unpaved"
"El Salvador",2010,3247,"2013 to 2016","includes 341 km of expressways","paved"
"El Salvador",2010,6918,"2013 to 2016",NA,"total"
"El Salvador",2010,3671,"2013 to 2016",NA,"unpaved"
"El Salvador",2016,4414,"2017 to 2018","includes 341 km of expressways","paved"
"El Salvador",2016,4414,"2017 to 2018",NA,"paved"
"El Salvador",2016,6979,"2017 to 2018",NA,"total"
"El Salvador",2016,2565,"2017 to 2018",NA,"unpaved"
"El Salvador",2017,5341,"2019 to 2023",NA,"paved"
"El Salvador",2017,9012,"2019 to 2023",NA,"total"
"El Salvador",2017,3671,"2019 to 2023",NA,"unpaved"
"Equatorial Guinea",1999,2880,"2006 to 2007",NA,"total"
"Equatorial Guinea",2000,2880,"2008 to 2018",NA,"total"
"Equatorial Guinea",2017,2880,"2019 to 2023",NA,"total"
"Eritrea",1999,874,"2006 to 2007",NA,"paved"
"Eritrea",1999,4010,"2006 to 2007",NA,"total"
"Eritrea",1999,3136,"2006 to 2007",NA,"unpaved"
"Eritrea",2000,874,"2008 to 2018",NA,"paved"
"Eritrea",2000,1600,"2019 to 2023",NA,"paved"
"Eritrea",2000,4010,"2008 to 2018",NA,"total"
"Eritrea",2000,3136,"2008 to 2018",NA,"unpaved"
"Eritrea",2000,14400,"2019 to 2023",NA,"unpaved"
"Eritrea",2018,16000,"2019 to 2023",NA,"total"
"Estonia",2003,13303,"2006","including 99 km of expressways","paved"
"Estonia",2003,56849,"2006",NA,"total"
"Estonia",2003,45546,"2006",NA,"unpaved"
"Estonia",2004,13384,"2007","includes 99 km of expressways","paved"
"Estonia",2004,56856,"2007",NA,"total"
"Estonia",2004,43472,"2007",NA,"unpaved"
"Estonia",2005,12926,"2008 to 2009","includes 99 km of expressways","paved"
"Estonia",2005,57016,"2008 to 2009",NA,"total"
"Estonia",2005,44090,"2008 to 2009",NA,"unpaved"
"Estonia",2009,34936,"2010 to 2012","includes 104 km of expressways","paved"
"Estonia",2009,58034,"2010 to 2012",NA,"total"
"Estonia",2009,58034,"2010 to 2012","includes 41912 urban roads","total"
"Estonia",2009,23098,"2010 to 2012",NA,"unpaved"
"Estonia",2011,10427,"2013 to 2023","includes 115 km of expressways","paved"
"Estonia",2011,10427,"2013 to 2023",NA,"paved"
"Estonia",2011,58412,"2013 to 2023","includes urban roads","total"
"Estonia",2011,47985,"2013 to 2023",NA,"unpaved"
"Eswatini",2002,1078,"2006 to 2018",NA,"paved"
"Eswatini",2002,3594,"2006 to 2018",NA,"total"
"Eswatini",2002,2516,"2006 to 2018",NA,"unpaved"
"Eswatini",2019,3769,"2019 to 2023",NA,"total"
"Ethiopia",2003,4367,"2006",NA,"paved"
"Ethiopia",2003,33856,"2006",NA,"total"
"Ethiopia",2003,29489,"2006",NA,"unpaved"
"Ethiopia",2004,6980,"2007 to 2012",NA,"paved"
"Ethiopia",2004,36469,"2007 to 2012",NA,"total"
"Ethiopia",2004,29489,"2007 to 2012",NA,"unpaved"
"Ethiopia",2007,6980,"2011",NA,"paved"
"Ethiopia",2007,6064,"2013 to 2015",NA,"paved"
"Ethiopia",2007,36469,"2011",NA,"total"
"Ethiopia",2007,44359,"2013 to 2015",NA,"total"
"Ethiopia",2007,29489,"2011",NA,"unpaved"
"Ethiopia",2007,38295,"2013 to 2015",NA,"unpaved"
"Ethiopia",2015,14354,"2016 to 2018",NA,"paved"
"Ethiopia",2015,110414,"2016 to 2018",NA,"total"
"Ethiopia",2015,96060,"2016 to 2018",NA,"unpaved"
"Ethiopia",2018,120171,"2019 to 2023",NA,"total"
"European Union",2005,1809821,"2007",NA,"paved"
"European Union",2005,2394641,"2007","includes 61522 km of expressways","total"
"European Union",2005,584820,"2007",NA,"unpaved"
"European Union",2008,5454446,"2008 to 2009",NA,"total"
"European Union",2008,5919704,"2010",NA,"total"
"European Union",2010,5814080,"2011 to 2013",NA,"total"
"European Union",2013,10582653,"2014 to 2022",NA,"total"
"European Union",2019,4894173,"2023",NA,"total"
"European Union",NA,4161318,"2006",NA,"paved"
"European Union",NA,4634810,"2006","including 56704 km of expressways","total"
"European Union",NA,473492,"2006","1999-2000","unpaved"
"Falkland Islands (Malvinas)",2003,50,"2006 to 2007",NA,"paved"
"Falkland Islands (Malvinas)",2003,440,"2006 to 2007",NA,"total"
"Falkland Islands (Malvinas)",2003,390,"2006 to 2007",NA,"unpaved"
"Falkland Islands (Malvinas)",2008,50,"2008 to 2023",NA,"paved"
"Falkland Islands (Malvinas)",2008,440,"2008 to 2023",NA,"total"
"Falkland Islands (Malvinas)",2008,390,"2008 to 2023",NA,"unpaved"
"Faroe Islands",2003,458,"2006 to 2007",NA,"total"
"Faroe Islands",2006,463,"2008 to 2015",NA,"total"
"Faroe Islands",2015,960,"2016",NA,"total"
"Faroe Islands",2017,500,"2019 to 2023",NA,"paved"
"Faroe Islands",2017,960,"2017 to 2023",NA,"total"
"Faroe Islands",2017,460,"2019 to 2023",NA,"unpaved"
"Fiji",1999,1692,"2006 to 2007",NA,"paved"
"Fiji",1999,3440,"2006 to 2007",NA,"total"
"Fiji",1999,1748,"2006 to 2007",NA,"unpaved"
"Fiji",2000,1692,"2008 to 2012",NA,"paved"
"Fiji",2000,3440,"2008 to 2012",NA,"total"
"Fiji",2000,1748,"2008 to 2012",NA,"unpaved"
"Fiji",2011,1686,"2013 to 2023",NA,"paved"
"Fiji",2011,3440,"2013 to 2023",NA,"total"
"Fiji",2011,1754,"2013 to 2023",NA,"unpaved"
"Finland",2006,50633,"2006","including 653 km of expressways","paved"
"Finland",2006,78189,"2006",NA,"total"
"Finland",2006,27556,"2006",NA,"unpaved"
"Finland",2007,50760,"2007","includes 700 km of expressways","paved"
"Finland",2007,78189,"2007",NA,"total"
"Finland",2007,27429,"2007",NA,"unpaved"
"Finland",2008,50854,"2008","includes 700 km of expressways","paved"
"Finland",2008,78821,"2008",NA,"total"
"Finland",2008,27967,"2008",NA,"unpaved"
"Finland",2009,50914,"2009 to 2012","includes 700 km of expressways","paved"
"Finland",2009,50914,"2009 to 2012","includes 739 km of expressways","paved"
"Finland",2009,78141,"2009 to 2012",NA,"total"
"Finland",2009,27227,"2009 to 2012",NA,"unpaved"
"Finland",2012,50000,"2013 to 2014","includes 700 km of expressways","paved"
"Finland",2012,78000,"2013 to 2014",NA,"total"
"Finland",2012,454000,"2015 to 2023",NA,"total"
"Finland",2012,28000,"2013 to 2014",NA,"unpaved"
"France",2003,891290,"2006","including 10390 km of expressways","paved"
"France",2003,891290,"2006",NA,"total"
"France",2004,951220,"2007","metropolitan France; including 10490 km of expressways","paved"
"France",2004,956303,"2007","includes 5083 km of roads in the overseas departments","total"
"France",2006,951500,"2008 to 2009","metropolitan France; includes 10950 km of expressways","paved"
"France",2006,951500,"2008 to 2009",NA,"total"
"France",2007,1027183,"2010","metropolitan France; includes 10958 km of expressways","total"
"France",2007,951200,"2012","metropolitan France; includes 11100 km of expressways","total"
"France",2008,951200,"2011","metropolitan France; includes 11100 km of expressways","total"
"France",2010,1028446,"2015 to 2018","includes 11416 km of expressways","paved"
"France",2010,1028446,"2015 to 2018",NA,"paved"
"France",2010,1028446,"2013 to 2018","metropolitan France; includes 11416 km of expressways","total"
"France",2010,1028446,"2013 to 2018","metropolitan France","total"
"France",2011,1053215,"2019 to 2023",NA,"total"
"French Guiana",1998,817,"2006",NA,"total"
"French Polynesia",1999,1735,"2006 to 2023",NA,"paved"
"French Polynesia",1999,2590,"2006 to 2023",NA,"total"
"French Polynesia",1999,855,"2006 to 2023",NA,"unpaved"
"Gabon",2001,900,"2019 to 2023",NA,"paved"
"Gabon",2001,14300,"2019 to 2023",NA,"total"
"Gabon",2001,13400,"2019 to 2023",NA,"unpaved"
"Gabon",2003,6247,"2006",NA,"paved"
"Gabon",2003,32333,"2006",NA,"total"
"Gabon",2003,26086,"2006",NA,"unpaved"
"Gabon",2004,937,"2007 to 2012",NA,"paved"
"Gabon",2004,9170,"2007 to 2012",NA,"total"
"Gabon",2004,8233,"2007 to 2012",NA,"unpaved"
"Gabon",2007,1097,"2013 to 2018",NA,"paved"
"Gabon",2007,9170,"2013 to 2018",NA,"total"
"Gabon",2007,8073,"2013 to 2018",NA,"unpaved"
"Gambia, The",2003,723,"2006",NA,"paved"
"Gambia, The",2003,3742,"2006",NA,"total"
"Gambia, The",2003,3019,"2006",NA,"unpaved"
"Gambia, The",2004,723,"2007 to 2012",NA,"paved"
"Gambia, The",2004,3742,"2007 to 2012",NA,"total"
"Gambia, The",2004,3019,"2007 to 2012",NA,"unpaved"
"Gambia, The",2011,711,"2013 to 2018",NA,"paved"
"Gambia, The",2011,518,"2019 to 2023",NA,"paved"
"Gambia, The",2011,3740,"2013 to 2018",NA,"total"
"Gambia, The",2011,2977,"2019 to 2023",NA,"total"
"Gambia, The",2011,3029,"2013 to 2018",NA,"unpaved"
"Gambia, The",2011,2459,"2019 to 2023",NA,"unpaved"
"Georgia",2003,7973,"2006",NA,"paved"
"Georgia",2003,20247,"2006",NA,"total"
"Georgia",2003,12274,"2006",NA,"unpaved"
"Georgia",2004,7973,"2007",NA,"paved"
"Georgia",2004,20247,"2007",NA,"total"
"Georgia",2004,12274,"2007",NA,"unpaved"
"Georgia",2006,7854,"2008 to 2010","includes 13 km of expressways","paved"
"Georgia",2006,19123,"2012","includes 13 km of expressways","paved"
"Georgia",2006,20329,"2008 to 2012",NA,"total"
"Georgia",2006,12475,"2008 to 2010",NA,"unpaved"
"Georgia",2006,1206,"2012",NA,"unpaved"
"Georgia",2007,19123,"2011","includes 13 km of expressways","paved"
"Georgia",2007,20329,"2011",NA,"total"
"Georgia",2007,1206,"2011",NA,"unpaved"
"Georgia",2010,19109,"2013 to 2018","includes 69 km of expressways","paved"
"Georgia",2010,19109,"2013 to 2018",NA,"paved"
"Georgia",2010,19109,"2013 to 2018",NA,"total"
"Georgia",2018,20295,"2019 to 2023",NA,"total"
"Germany",2005,231581,"2006 to 2007","including 12200 km of expressways","paved"
"Germany",2005,231581,"2006 to 2007","includes 12200 km of expressways","paved"
"Germany",2005,231581,"2006 to 2007",NA,"total"
"Germany",2006,644480,"2008 to 2009","includes 12400 km of expressways","paved"
"Germany",2006,644480,"2008 to 2009",NA,"total"
"Germany",2008,644480,"2010 to 2012","includes 12645 km of expressways","paved"
"Germany",2008,644480,"2010 to 2012","includes 12800 km of expressways","paved"
"Germany",2008,644480,"2010 to 2012",NA,"total"
"Germany",2010,644480,"2011","includes 12800 km of expressways","paved"
"Germany",2010,645000,"2013 to 2018","includes 12800 km of expressways","paved"
"Germany",2010,645000,"2013 to 2018",NA,"paved"
"Germany",2010,644480,"2011",NA,"total"
"Germany",2010,645000,"2013 to 2018",NA,"total"
"Germany",2017,625000,"2019 to 2022",NA,"paved"
"Germany",2017,625000,"2019 to 2022",NA,"total"
"Germany",2022,830000,"2023",NA,"paved"
"Germany",2022,830000,"2023",NA,"total"
"Ghana",2004,3267,"2006 to 2007",NA,"paved"
"Ghana",2004,42623,"2006 to 2007",NA,"total"
"Ghana",2004,39356,"2006 to 2007",NA,"unpaved"
"Ghana",2006,9955,"2008 to 2012",NA,"paved"
"Ghana",2006,62221,"2008 to 2012",NA,"total"
"Ghana",2006,52266,"2008 to 2012",NA,"unpaved"
"Ghana",2009,13787,"2013 to 2021",NA,"paved"
"Ghana",2009,109515,"2013 to 2021",NA,"total"
"Ghana",2009,95728,"2013 to 2021",NA,"unpaved"
"Ghana",2021,14948,"2022 to 2023",NA,"paved"
"Ghana",2021,65725,"2022 to 2023",NA,"total"
"Ghana",2021,50777,"2022 to 2023",NA,"unpaved"
"Gibraltar",2002,29,"2006 to 2007",NA,"paved"
"Gibraltar",2002,29,"2006 to 2007",NA,"total"
"Gibraltar",2007,29,"2008 to 2023",NA,"paved"
"Gibraltar",2007,29,"2008 to 2023",NA,"total"
"Greece",1999,106920,"2006","including 880 km of expressways","paved"
"Greece",1999,116470,"2006",NA,"total"
"Greece",1999,9550,"2006",NA,"unpaved"
"Greece",2004,105507,"2007","includes 880 km of expressways","paved"
"Greece",2004,114931,"2007",NA,"total"
"Greece",2004,9424,"2007",NA,"unpaved"
"Greece",2005,107895,"2008 to 2010","includes 880 km of expressways","paved"
"Greece",2005,117533,"2008 to 2010",NA,"total"
"Greece",2005,116711,"2012","includes 948 km of expressways","total"
"Greece",2005,9638,"2008 to 2010",NA,"unpaved"
"Greece",2008,116711,"2011","includes 948 km of expressways","total"
"Greece",2010,41357,"2013 to 2018","includes 1091 km of expressways","paved"
"Greece",2010,41357,"2013 to 2018",NA,"paved"
"Greece",2010,116960,"2013 to 2018",NA,"total"
"Greece",2010,75603,"2013 to 2018",NA,"unpaved"
"Greece",2018,117000,"2019 to 2023",NA,"total"
"Grenada",1999,687,"2006 to 2007",NA,"paved"
"Grenada",1999,1127,"2006 to 2007",NA,"total"
"Grenada",1999,440,"2006 to 2007",NA,"unpaved"
"Grenada",2000,687,"2008 to 2012",NA,"paved"
"Grenada",2000,1127,"2008 to 2012",NA,"total"
"Grenada",2000,440,"2008 to 2012",NA,"unpaved"
"Grenada",2001,687,"2011 to 2017",NA,"paved"
"Grenada",2001,1127,"2011 to 2017",NA,"total"
"Grenada",2001,440,"2011 to 2017",NA,"unpaved"
"Grenada",2017,902,"2018 to 2023",NA,"paved"
"Grenada",2017,1127,"2018 to 2023",NA,"total"
"Grenada",2017,225,"2018 to 2023",NA,"unpaved"
"Guadeloupe",2002,947,"2006",NA,"total"
"Guam",2004,977,"2006 to 2007",NA,"total"
"Guam",2007,1045,"2008 to 2009",NA,"total"
"Guam",2008,1045,"2010 to 2023",NA,"total"
"Guatemala",1999,4863,"2006 to 2007","including 75 km of expressways","paved"
"Guatemala",1999,4863,"2006 to 2007","includes 75 km of expressways","paved"
"Guatemala",1999,14095,"2006 to 2007",NA,"total"
"Guatemala",1999,9232,"2006 to 2007",NA,"unpaved"
"Guatemala",2000,4863,"2008 to 2012","includes 75 km of expressways","paved"
"Guatemala",2000,14095,"2008 to 2012",NA,"total"
"Guatemala",2000,9232,"2008 to 2012",NA,"unpaved"
"Guatemala",2001,4863,"2011","includes 75 km of expressways","paved"
"Guatemala",2001,14095,"2011",NA,"total"
"Guatemala",2001,9232,"2011",NA,"unpaved"
"Guatemala",2010,6797,"2013 to 2015","includes 127 km of expressways","paved"
